reg_date,state,vehicle_category,manufacturer,registrations
2025-01-05,Andhra Pradesh,2W,BrandP,18462
2025-01-05,Arunachal Pradesh,4W,BrandG,8905
2025-01-05,Assam,2W,BrandO,4363
2025-01-05,Bihar,4W,BrandO,11312
2025-01-05,Chhattisgarh,2W,BrandX,14870
2025-01-05,Goa,2W,BrandM,8254
2025-01-05,Gujarat,3W,BrandL,2389
2025-01-05,Haryana,2W,BrandX,13010
2025-01-05,Himachal Pradesh,2W,BrandR,12185
2025-01-05,Jharkhand,2W,BrandZ,13008
2025-01-05,Karnataka,4W,BrandM,10998
2025-01-05,Kerala,3W,BrandQ,5724
2025-01-05,Madhya Pradesh,2W,BrandX,15572
2025-01-05,Maharashtra,2W,BrandC,12304
2025-01-05,Manipur,3W,BrandB,2613
2025-01-05,Meghalaya,4W,BrandM,14879
2025-01-05,Mizoram,2W,BrandZ,15431
2025-01-05,Nagaland,3W,BrandX,9909
2025-01-05,Odisha,3W,BrandM,6225
2025-01-05,Punjab,3W,BrandC,6589
2025-01-05,Rajasthan,2W,BrandD,7821
2025-01-05,Sikkim,3W,BrandP,15244
2025-01-05,Tamil Nadu,2W,BrandK,14671
2025-01-05,Telangana,3W,BrandC,8716
2025-01-05,Tripura,3W,BrandO,3761
2025-01-05,Uttar Pradesh,2W,BrandA,14575
2025-01-05,Uttarakhand,2W,BrandA,19541
2025-01-05,West Bengal,2W,BrandN,11339
2025-01-05,Delhi,4W,BrandD,13948
2025-01-05,Jammu and Kashmir,2W,BrandV,17816
2025-01-05,Ladakh,3W,BrandV,17019
2025-01-05,Puducherry,2W,BrandL,8009
2025-01-06,Andhra Pradesh,3W,BrandR,3447
2025-01-06,Arunachal Pradesh,2W,BrandB,17024
2025-01-06,Assam,2W,BrandI,4912
2025-01-06,Bihar,4W,BrandO,16057
2025-01-06,Chhattisgarh,4W,BrandR,4005
2025-01-06,Goa,2W,BrandP,11040
2025-01-06,Gujarat,4W,BrandS,5765
2025-01-06,Haryana,3W,BrandG,7657
2025-01-06,Himachal Pradesh,2W,BrandD,10850
2025-01-06,Jharkhand,3W,BrandQ,16940
2025-01-06,Karnataka,2W,BrandV,17647
2025-01-06,Kerala,2W,BrandY,18697
2025-01-06,Madhya Pradesh,3W,BrandV,16350
2025-01-06,Maharashtra,2W,BrandA,18037
2025-01-06,Manipur,2W,BrandM,16046
2025-01-06,Meghalaya,4W,BrandY,18857
2025-01-06,Mizoram,2W,BrandK,3014
2025-01-06,Nagaland,3W,BrandU,13261
2025-01-06,Odisha,2W,BrandB,4722
2025-01-06,Punjab,3W,BrandQ,17384
2025-01-06,Rajasthan,3W,BrandD,3302
2025-01-06,Sikkim,4W,BrandR,15735
2025-01-06,Tamil Nadu,2W,BrandE,17287
2025-01-06,Telangana,3W,BrandE,19413
2025-01-06,Tripura,3W,BrandP,17519
2025-01-06,Uttar Pradesh,4W,BrandP,12453
2025-01-06,Uttarakhand,3W,BrandL,2684
2025-01-06,West Bengal,2W,BrandO,9080
2025-01-06,Delhi,4W,BrandR,12378
2025-01-06,Jammu and Kashmir,3W,BrandX,8846
2025-01-06,Ladakh,4W,BrandN,4511
2025-01-06,Puducherry,2W,BrandC,6035
2025-01-07,Andhra Pradesh,4W,BrandV,14853
2025-01-07,Arunachal Pradesh,3W,BrandK,12070
2025-01-07,Assam,3W,BrandD,19518
2025-01-07,Bihar,4W,BrandT,17810
2025-01-07,Chhattisgarh,3W,BrandS,3136
2025-01-07,Goa,2W,BrandQ,9383
2025-01-07,Gujarat,3W,BrandC,10875
2025-01-07,Haryana,3W,BrandH,13013
2025-01-07,Himachal Pradesh,4W,BrandK,8573
2025-01-07,Jharkhand,4W,BrandW,14938
2025-01-07,Karnataka,4W,BrandD,13990
2025-01-07,Kerala,3W,BrandB,17274
2025-01-07,Madhya Pradesh,2W,BrandK,2535
2025-01-07,Maharashtra,2W,BrandP,3512
2025-01-07,Manipur,2W,BrandA,18445
2025-01-07,Meghalaya,2W,BrandQ,19698
2025-01-07,Mizoram,2W,BrandS,5024
2025-01-07,Nagaland,4W,BrandP,6410
2025-01-07,Odisha,4W,BrandT,4625
2025-01-07,Punjab,2W,BrandP,16211
2025-01-07,Rajasthan,4W,BrandL,8910
2025-01-07,Sikkim,3W,BrandR,12022
2025-01-07,Tamil Nadu,2W,BrandG,7440
2025-01-07,Telangana,2W,BrandW,17642
2025-01-07,Tripura,2W,BrandF,2512
2025-01-07,Uttar Pradesh,4W,BrandH,16581
2025-01-07,Uttarakhand,3W,BrandD,15036
2025-01-07,West Bengal,3W,BrandO,9657
2025-01-07,Delhi,2W,BrandE,16811
2025-01-07,Jammu and Kashmir,2W,BrandC,16122
2025-01-07,Ladakh,3W,BrandN,5906
2025-01-07,Puducherry,3W,BrandD,16739
2025-01-08,Andhra Pradesh,2W,BrandX,10154
2025-01-08,Arunachal Pradesh,4W,BrandM,12416
2025-01-08,Assam,2W,BrandP,11450
2025-01-08,Bihar,3W,BrandT,14469
2025-01-08,Chhattisgarh,4W,BrandJ,7470
2025-01-08,Goa,4W,BrandR,3216
2025-01-08,Gujarat,3W,BrandM,13715
2025-01-08,Haryana,3W,BrandY,2537
2025-01-08,Himachal Pradesh,2W,BrandD,15237
2025-01-08,Jharkhand,2W,BrandK,9713
2025-01-08,Karnataka,3W,BrandJ,15670
2025-01-08,Kerala,2W,BrandQ,7924
2025-01-08,Madhya Pradesh,3W,BrandB,17085
2025-01-08,Maharashtra,4W,BrandC,7501
2025-01-08,Manipur,3W,BrandT,16701
2025-01-08,Meghalaya,3W,BrandF,15984
2025-01-08,Mizoram,2W,BrandG,14129
2025-01-08,Nagaland,4W,BrandC,3839
2025-01-08,Odisha,4W,BrandK,6493
2025-01-08,Punjab,3W,BrandX,17263
2025-01-08,Rajasthan,2W,BrandZ,12076
2025-01-08,Sikkim,4W,BrandP,3857
2025-01-08,Tamil Nadu,3W,BrandP,6887
2025-01-08,Telangana,3W,BrandO,11066
2025-01-08,Tripura,4W,BrandZ,16901
2025-01-08,Uttar Pradesh,2W,BrandI,11523
2025-01-08,Uttarakhand,3W,BrandK,17196
2025-01-08,West Bengal,3W,BrandX,9193
2025-01-08,Delhi,4W,BrandD,6724
2025-01-08,Jammu and Kashmir,3W,BrandT,10980
2025-01-08,Ladakh,4W,BrandO,7798
2025-01-08,Puducherry,4W,BrandU,17296
2025-01-09,Andhra Pradesh,4W,BrandC,13576
2025-01-09,Arunachal Pradesh,3W,BrandR,15892
2025-01-09,Assam,4W,BrandI,6147
2025-01-09,Bihar,4W,BrandA,5216
2025-01-09,Chhattisgarh,4W,BrandT,7000
2025-01-09,Goa,4W,BrandQ,10203
2025-01-09,Gujarat,3W,BrandG,12955
2025-01-09,Haryana,3W,BrandB,11360
2025-01-09,Himachal Pradesh,2W,BrandZ,8101
2025-01-09,Jharkhand,4W,BrandA,17895
2025-01-09,Karnataka,3W,BrandA,17801
2025-01-09,Kerala,4W,BrandO,2177
2025-01-09,Madhya Pradesh,3W,BrandW,16290
2025-01-09,Maharashtra,2W,BrandE,3849
2025-01-09,Manipur,3W,BrandW,16527
2025-01-09,Meghalaya,2W,BrandP,14108
2025-01-09,Mizoram,3W,BrandC,6998
2025-01-09,Nagaland,3W,BrandY,15403
2025-01-09,Odisha,3W,BrandT,2833
2025-01-09,Punjab,4W,BrandL,18517
2025-01-09,Rajasthan,4W,BrandQ,12953
2025-01-09,Sikkim,4W,BrandW,3531
2025-01-09,Tamil Nadu,4W,BrandP,19099
2025-01-09,Telangana,4W,BrandY,7505
2025-01-09,Tripura,4W,BrandP,10523
2025-01-09,Uttar Pradesh,3W,BrandS,2834
2025-01-09,Uttarakhand,4W,BrandQ,16852
2025-01-09,West Bengal,3W,BrandT,12600
2025-01-09,Delhi,4W,BrandN,15558
2025-01-09,Jammu and Kashmir,3W,BrandZ,19733
2025-01-09,Ladakh,4W,BrandK,14955
2025-01-09,Puducherry,3W,BrandA,17244
2025-01-10,Andhra Pradesh,2W,BrandI,5825
2025-01-10,Arunachal Pradesh,4W,BrandB,3574
2025-01-10,Assam,3W,BrandX,15715
2025-01-10,Bihar,3W,BrandO,12618
2025-01-10,Chhattisgarh,3W,BrandN,8642
2025-01-10,Goa,3W,BrandZ,14750
2025-01-10,Gujarat,4W,BrandV,9542
2025-01-10,Haryana,2W,BrandA,12019
2025-01-10,Himachal Pradesh,2W,BrandF,7909
2025-01-10,Jharkhand,3W,BrandM,6089
2025-01-10,Karnataka,2W,BrandX,7963
2025-01-10,Kerala,2W,BrandD,18166
2025-01-10,Madhya Pradesh,3W,BrandP,8181
2025-01-10,Maharashtra,4W,BrandS,15484
2025-01-10,Manipur,3W,BrandA,5701
2025-01-10,Meghalaya,3W,BrandT,18166
2025-01-10,Mizoram,2W,BrandM,2510
2025-01-10,Nagaland,4W,BrandG,14561
2025-01-10,Odisha,3W,BrandF,12020
2025-01-10,Punjab,2W,BrandX,10637
2025-01-10,Rajasthan,3W,BrandB,3313
2025-01-10,Sikkim,3W,BrandC,9024
2025-01-10,Tamil Nadu,3W,BrandO,19774
2025-01-10,Telangana,3W,BrandV,2147
2025-01-10,Tripura,3W,BrandT,10473
2025-01-10,Uttar Pradesh,2W,BrandF,2633
2025-01-10,Uttarakhand,3W,BrandM,7357
2025-01-10,West Bengal,2W,BrandU,10916
2025-01-10,Delhi,3W,BrandO,4234
2025-01-10,Jammu and Kashmir,3W,BrandR,16374
2025-01-10,Ladakh,4W,BrandJ,7887
2025-01-10,Puducherry,2W,BrandK,17448
2025-01-11,Andhra Pradesh,4W,BrandK,2073
2025-01-11,Arunachal Pradesh,3W,BrandS,9093
2025-01-11,Assam,2W,BrandL,9799
2025-01-11,Bihar,2W,BrandU,9208
2025-01-11,Chhattisgarh,4W,BrandF,3656
2025-01-11,Goa,2W,BrandH,2165
2025-01-11,Gujarat,2W,BrandO,19269
2025-01-11,Haryana,3W,BrandK,18199
2025-01-11,Himachal Pradesh,2W,BrandK,17791
2025-01-11,Jharkhand,4W,BrandU,15153
2025-01-11,Karnataka,3W,BrandP,19218
2025-01-11,Kerala,3W,BrandS,9513
2025-01-11,Madhya Pradesh,3W,BrandP,6649
2025-01-11,Maharashtra,4W,BrandM,10956
2025-01-11,Manipur,4W,BrandF,18241
2025-01-11,Meghalaya,3W,BrandF,9051
2025-01-11,Mizoram,4W,BrandI,3569
2025-01-11,Nagaland,3W,BrandC,15684
2025-01-11,Odisha,2W,BrandZ,13698
2025-01-11,Punjab,4W,BrandF,15387
2025-01-11,Rajasthan,3W,BrandR,3951
2025-01-11,Sikkim,3W,BrandH,9292
2025-01-11,Tamil Nadu,3W,BrandP,11433
2025-01-11,Telangana,4W,BrandJ,10991
2025-01-11,Tripura,2W,BrandJ,4649
2025-01-11,Uttar Pradesh,2W,BrandE,10926
2025-01-11,Uttarakhand,4W,BrandQ,4083
2025-01-11,West Bengal,2W,BrandW,4335
2025-01-11,Delhi,3W,BrandT,6095
2025-01-11,Jammu and Kashmir,2W,BrandU,17838
2025-01-11,Ladakh,4W,BrandP,3386
2025-01-11,Puducherry,2W,BrandJ,16839
2025-01-12,Andhra Pradesh,4W,BrandD,13726
2025-01-12,Arunachal Pradesh,3W,BrandL,10015
2025-01-12,Assam,4W,BrandB,7149
2025-01-12,Bihar,4W,BrandW,13705
2025-01-12,Chhattisgarh,3W,BrandJ,7415
2025-01-12,Goa,4W,BrandT,8767
2025-01-12,Gujarat,3W,BrandI,7264
2025-01-12,Haryana,3W,BrandY,17490
2025-01-12,Himachal Pradesh,3W,BrandD,13475
2025-01-12,Jharkhand,3W,BrandG,19282
2025-01-12,Karnataka,3W,BrandU,13652
2025-01-12,Kerala,4W,BrandE,10720
2025-01-12,Madhya Pradesh,4W,BrandJ,13961
2025-01-12,Maharashtra,2W,BrandU,4221
2025-01-12,Manipur,4W,BrandY,10418
2025-01-12,Meghalaya,3W,BrandS,18364
2025-01-12,Mizoram,2W,BrandS,14511
2025-01-12,Nagaland,3W,BrandJ,15227
2025-01-12,Odisha,4W,BrandS,2797
2025-01-12,Punjab,2W,BrandY,17635
2025-01-12,Rajasthan,3W,BrandV,10749
2025-01-12,Sikkim,3W,BrandI,4248
2025-01-12,Tamil Nadu,4W,BrandB,14325
2025-01-12,Telangana,2W,BrandO,16696
2025-01-12,Tripura,4W,BrandQ,7755
2025-01-12,Uttar Pradesh,2W,BrandT,7189
2025-01-12,Uttarakhand,3W,BrandO,5513
2025-01-12,West Bengal,2W,BrandN,10831
2025-01-12,Delhi,2W,BrandV,5097
2025-01-12,Jammu and Kashmir,2W,BrandM,12695
2025-01-12,Ladakh,2W,BrandX,2385
2025-01-12,Puducherry,3W,BrandZ,7545
2025-01-13,Andhra Pradesh,4W,BrandI,13115
2025-01-13,Arunachal Pradesh,2W,BrandS,10716
2025-01-13,Assam,3W,BrandO,14617
2025-01-13,Bihar,3W,BrandQ,12176
2025-01-13,Chhattisgarh,2W,BrandQ,9175
2025-01-13,Goa,3W,BrandK,2007
2025-01-13,Gujarat,2W,BrandO,17298
2025-01-13,Haryana,2W,BrandA,15475
2025-01-13,Himachal Pradesh,3W,BrandK,5571
2025-01-13,Jharkhand,4W,BrandL,13666
2025-01-13,Karnataka,2W,BrandJ,12908
2025-01-13,Kerala,4W,BrandW,19615
2025-01-13,Madhya Pradesh,2W,BrandL,2235
2025-01-13,Maharashtra,4W,BrandL,14829
2025-01-13,Manipur,4W,BrandT,4906
2025-01-13,Meghalaya,3W,BrandS,4439
2025-01-13,Mizoram,3W,BrandH,7253
2025-01-13,Nagaland,3W,BrandZ,18010
2025-01-13,Odisha,2W,BrandC,2105
2025-01-13,Punjab,3W,BrandO,11727
2025-01-13,Rajasthan,4W,BrandA,9917
2025-01-13,Sikkim,3W,BrandS,5160
2025-01-13,Tamil Nadu,4W,BrandE,6040
2025-01-13,Telangana,4W,BrandI,13202
2025-01-13,Tripura,4W,BrandC,6887
2025-01-13,Uttar Pradesh,2W,BrandF,3668
2025-01-13,Uttarakhand,2W,BrandI,9903
2025-01-13,West Bengal,3W,BrandF,9516
2025-01-13,Delhi,2W,BrandT,8315
2025-01-13,Jammu and Kashmir,4W,BrandS,9492
2025-01-13,Ladakh,4W,BrandB,15832
2025-01-13,Puducherry,3W,BrandJ,17854
2025-01-14,Andhra Pradesh,4W,BrandQ,11821
2025-01-14,Arunachal Pradesh,3W,BrandQ,4994
2025-01-14,Assam,4W,BrandC,13586
2025-01-14,Bihar,3W,BrandA,19643
2025-01-14,Chhattisgarh,3W,BrandX,10987
2025-01-14,Goa,2W,BrandJ,11424
2025-01-14,Gujarat,4W,BrandZ,7765
2025-01-14,Haryana,3W,BrandK,17839
2025-01-14,Himachal Pradesh,4W,BrandF,5793
2025-01-14,Jharkhand,4W,BrandG,7074
2025-01-14,Karnataka,4W,BrandD,2975
2025-01-14,Kerala,2W,BrandF,11961
2025-01-14,Madhya Pradesh,2W,BrandN,15750
2025-01-14,Maharashtra,2W,BrandN,3120
2025-01-14,Manipur,2W,BrandM,17197
2025-01-14,Meghalaya,4W,BrandS,18426
2025-01-14,Mizoram,3W,BrandM,18331
2025-01-14,Nagaland,3W,BrandB,3919
2025-01-14,Odisha,3W,BrandK,12761
2025-01-14,Punjab,3W,BrandO,18259
2025-01-14,Rajasthan,3W,BrandX,14816
2025-01-14,Sikkim,3W,BrandJ,8248
2025-01-14,Tamil Nadu,4W,BrandC,8317
2025-01-14,Telangana,2W,BrandT,19133
2025-01-14,Tripura,4W,BrandV,14175
2025-01-14,Uttar Pradesh,2W,BrandF,2137
2025-01-14,Uttarakhand,3W,BrandT,4962
2025-01-14,West Bengal,2W,BrandI,18500
2025-01-14,Delhi,3W,BrandO,8944
2025-01-14,Jammu and Kashmir,4W,BrandM,11737
2025-01-14,Ladakh,2W,BrandH,9316
2025-01-14,Puducherry,3W,BrandL,11719
2025-01-15,Andhra Pradesh,3W,BrandV,4658
2025-01-15,Arunachal Pradesh,4W,BrandN,8071
2025-01-15,Assam,3W,BrandE,2215
2025-01-15,Bihar,4W,BrandR,4350
2025-01-15,Chhattisgarh,3W,BrandM,10967
2025-01-15,Goa,4W,BrandH,19102
2025-01-15,Gujarat,2W,BrandR,16440
2025-01-15,Haryana,2W,BrandU,15550
2025-01-15,Himachal Pradesh,3W,BrandL,11115
2025-01-15,Jharkhand,2W,BrandQ,19215
2025-01-15,Karnataka,4W,BrandP,11950
2025-01-15,Kerala,2W,BrandR,6478
2025-01-15,Madhya Pradesh,2W,BrandW,13762
2025-01-15,Maharashtra,2W,BrandW,9118
2025-01-15,Manipur,4W,BrandQ,17638
2025-01-15,Meghalaya,3W,BrandA,3777
2025-01-15,Mizoram,4W,BrandO,10285
2025-01-15,Nagaland,2W,BrandY,13317
2025-01-15,Odisha,2W,BrandG,12600
2025-01-15,Punjab,2W,BrandX,6088
2025-01-15,Rajasthan,4W,BrandO,15800
2025-01-15,Sikkim,3W,BrandN,2341
2025-01-15,Tamil Nadu,4W,BrandX,16968
2025-01-15,Telangana,3W,BrandK,16811
2025-01-15,Tripura,3W,BrandZ,10441
2025-01-15,Uttar Pradesh,4W,BrandX,7287
2025-01-15,Uttarakhand,3W,BrandC,4018
2025-01-15,West Bengal,4W,BrandI,3788
2025-01-15,Delhi,3W,BrandC,5757
2025-01-15,Jammu and Kashmir,4W,BrandO,12346
2025-01-15,Ladakh,4W,BrandX,17698
2025-01-15,Puducherry,4W,BrandR,6892
2025-01-16,Andhra Pradesh,4W,BrandU,4629
2025-01-16,Arunachal Pradesh,4W,BrandB,17747
2025-01-16,Assam,3W,BrandB,2394
2025-01-16,Bihar,4W,BrandX,10059
2025-01-16,Chhattisgarh,4W,BrandC,19434
2025-01-16,Goa,2W,BrandF,13688
2025-01-16,Gujarat,4W,BrandN,4303
2025-01-16,Haryana,2W,BrandP,2077
2025-01-16,Himachal Pradesh,2W,BrandO,5395
2025-01-16,Jharkhand,4W,BrandF,18234
2025-01-16,Karnataka,2W,BrandV,13319
2025-01-16,Kerala,3W,BrandU,16903
2025-01-16,Madhya Pradesh,3W,BrandM,17750
2025-01-16,Maharashtra,4W,BrandW,10059
2025-01-16,Manipur,4W,BrandU,6922
2025-01-16,Meghalaya,2W,BrandM,6570
2025-01-16,Mizoram,4W,BrandJ,8698
2025-01-16,Nagaland,2W,BrandR,9884
2025-01-16,Odisha,2W,BrandC,2130
2025-01-16,Punjab,4W,BrandN,7990
2025-01-16,Rajasthan,2W,BrandE,19744
2025-01-16,Sikkim,4W,BrandP,14196
2025-01-16,Tamil Nadu,3W,BrandI,10121
2025-01-16,Telangana,2W,BrandH,3519
2025-01-16,Tripura,2W,BrandA,12103
2025-01-16,Uttar Pradesh,3W,BrandM,18473
2025-01-16,Uttarakhand,4W,BrandW,10027
2025-01-16,West Bengal,4W,BrandH,8702
2025-01-16,Delhi,3W,BrandL,2871
2025-01-16,Jammu and Kashmir,3W,BrandC,10365
2025-01-16,Ladakh,4W,BrandE,3190
2025-01-16,Puducherry,3W,BrandH,18267
2025-01-17,Andhra Pradesh,3W,BrandC,18116
2025-01-17,Arunachal Pradesh,2W,BrandK,5172
2025-01-17,Assam,4W,BrandB,6554
2025-01-17,Bihar,2W,BrandR,17199
2025-01-17,Chhattisgarh,2W,BrandS,17540
2025-01-17,Goa,3W,BrandT,11242
2025-01-17,Gujarat,3W,BrandS,4277
2025-01-17,Haryana,3W,BrandF,14460
2025-01-17,Himachal Pradesh,3W,BrandM,9189
2025-01-17,Jharkhand,4W,BrandK,16680
2025-01-17,Karnataka,4W,BrandH,4355
2025-01-17,Kerala,4W,BrandN,9028
2025-01-17,Madhya Pradesh,2W,BrandZ,15703
2025-01-17,Maharashtra,2W,BrandT,10276
2025-01-17,Manipur,4W,BrandF,16376
2025-01-17,Meghalaya,3W,BrandP,8747
2025-01-17,Mizoram,2W,BrandV,12797
2025-01-17,Nagaland,3W,BrandN,19756
2025-01-17,Odisha,2W,BrandJ,13878
2025-01-17,Punjab,3W,BrandZ,11324
2025-01-17,Rajasthan,2W,BrandZ,9293
2025-01-17,Sikkim,2W,BrandQ,2995
2025-01-17,Tamil Nadu,2W,BrandL,6401
2025-01-17,Telangana,2W,BrandA,6103
2025-01-17,Tripura,3W,BrandT,11434
2025-01-17,Uttar Pradesh,4W,BrandE,4699
2025-01-17,Uttarakhand,3W,BrandJ,14963
2025-01-17,West Bengal,2W,BrandJ,19429
2025-01-17,Delhi,4W,BrandK,14285
2025-01-17,Jammu and Kashmir,3W,BrandG,13048
2025-01-17,Ladakh,4W,BrandC,16545
2025-01-17,Puducherry,2W,BrandS,4261
2025-01-18,Andhra Pradesh,3W,BrandJ,19822
2025-01-18,Arunachal Pradesh,4W,BrandD,5330
2025-01-18,Assam,2W,BrandV,17400
2025-01-18,Bihar,3W,BrandD,13054
2025-01-18,Chhattisgarh,2W,BrandS,5119
2025-01-18,Goa,3W,BrandQ,14046
2025-01-18,Gujarat,4W,BrandF,15736
2025-01-18,Haryana,3W,BrandR,8354
2025-01-18,Himachal Pradesh,4W,BrandF,15685
2025-01-18,Jharkhand,4W,BrandP,4499
2025-01-18,Karnataka,4W,BrandF,4098
2025-01-18,Kerala,4W,BrandW,7662
2025-01-18,Madhya Pradesh,3W,BrandP,12859
2025-01-18,Maharashtra,3W,BrandB,19753
2025-01-18,Manipur,2W,BrandI,8153
2025-01-18,Meghalaya,4W,BrandC,7730
